iter	Passed	Remaining
0	89	2588
1	162	2270
2	239	2152
3	311	2026
4	385	1927
5	462	1848
6	535	1758
7	613	1687
8	686	1602
9	760	1520
10	836	1444
11	908	1362
12	980	1281
13	1051	1202
14	1127	1127
15	1197	1048
16	1273	973
17	1347	898
18	1418	821
19	1488	744
20	1567	671
21	1641	596
22	1714	521
23	1787	446
24	1859	371
25	1931	297
26	2005	222
27	2080	148
28	2152	74
29	2223	0
